Title ,TRANCHE,CG4:SCORE,CG3:STERIC,CG3:CLASH,CG3:Pro Desolve,CG3:Lig Desolve,CG3: Lig Desolv HB,CG4:HB,PSA,XLogP,N formal charges,HBA,HBD,Lipinski HBD,Max_ring_size,MW,N_ring_systems,N_rot_bonds,Formal Charge,
ZINC000816698601,DDAD,-6.596172,-9.919393,0.312926,3.355833,2.794915,-1.672671,-1.467784,75.27,5.03,0,3,2,2,6,320.41,2,7,0,
ZINC000820199493,DFAD,-9.236441,-8.446643,0.213073,2.68091,3.120092,-4.077394,-2.726479,67.01,5.67,0,2,2,2,6,305.28,2,7,0,
ZINC000816700503,DFAD,-7.724669,-8.105634,0.229531,2.7 72605,2.999029,-2.474447,-3.145753,57.78,5.61,0,2,2,2,6,318.17,2,5,0,
ZINC000816699315,DFAD,-6.406892,-9.419154,0.36176,3.653059,1.802113,-1.759409,-1.045262,58.2,5.51,0,2,2,2,6,306.36,2,8,0,
ZINC000063724545,DFAD,-6.367272,-7.182046,0.4403,3.439092,3.604641,-2.905897,-3.763363,70.14,5.37,0,3,2,2,6,304.35,3,5,0,
ZINC000816698294,DFAD,-6.333213,-9.092496,0.208964,3.229337,1.796927,-0.799832,-1.676114,58.2,5.15,0,2,2,2,6,312.39,2,8,0,
ZINC000816698421,DFAD,-6.310182,-8.384687,0.386248,3.767645,1.498945,-0.850262,-2.72807,67.15,5.16,0,2,2,2,6,323.27,2,6,0,
ZINC000887973120,DFAD,-6.304314,-9.260886,0.365767,3.139802,3.03933,-2.403493,-1.184834,84.73,5.03,0,4,2,2,6,312.37,2,7,0,
ZINC000887979719,DFAD,-6.199587,-9.769093,0.336336,3.18775,2.710502,-1.257613,-1.407468,71.84,5.1,0,3,2,2,6,311.38,2,8,0,
ZINC000848116057,DFAD,-6.003626,-7.132096,0.263147,2.655829,2.797318,-1.922817,-2.665008,58.2,5.46,0,2,2,2,6,304.43,2,8,0,
ZINC000820193736,DFAD,-5.943457,-9.142357,0.15708,3.314587,1.811492,-1.116435,-0.967825,58.2,5.48,0,2,2,2,6,306.36,2,8,0,
ZINC000820193737,DFAD,-5.526222,-7.908875,0.172404,2.699262,1.784112,-1.356665,-0.91646,58.2,5.48,0,2,2,2,6,306.36,2,8,0,
ZINC000820205539,DGAD,-7.952931,-8.608029,0.368959,2.544869,2.714184,-2.8276,-2.145314,70.23,5.27,0,2,3,3,6,313.37,2,8,0,
ZINC000820193677,DGAD,-7.753027,-7.945086,0.289145,3.167943,3.527045,-3.431668,-3.360408,57.78,5.93,0,2,2,2,6,321.3,2,6,0,
ZINC000912470991,DGAD,-7.431497,-8.521675,0.451872,3.084145,3.378103,-3.370351,-2.45359,70.56,5,0,3,2,2,6,321.46,2,10,0,
ZINC000028835843,DGAD,-7.379534,-7.53718,0.362169,3.145348,3.59861,-4.400651,-2.54783,70.14,5.32,0,3,2,2,6,318.37,3,6,0,
ZINC000912470992,DGAD,-7.21065,-7.446878,0.232415,1.85608,3.066935,-2.405513,-2.513689,70.56,5,0,3,2,2,6,321.46,2,10,0,
ZINC000816697830,DGAD,-7.201148,-9.909954,0.300911,2.96534,2.084687,-1.541327,-1.100805,58.2,5.59,0,2,2,2,6,310.32,2,7,0,
ZINC000887649394,DGAD,-7.149969,-10.968424,0.288641,3.307122,3.100945,-1.00132,-1.876933,59.59,5.81,0,1,2,2,6,302.37,2,8,0,
ZINC000816700122,DGAD,-6.946905,-8.646045,0.516376,3.031038,1.509904,-1.621764,-1.736414,58.2,6.22,0,2,2,2,6,324.35,2,7,0,
ZINC000820190149,DGAD,-6.940986,-8.254375,0.399231,3.254044,2.030609,-2.290965,-2.079531,63.25,5.53,0,2,2,2,6,309.36,2,8,0,
ZINC000820193752,DGAD,-6.765945,-8.901398,0.340045,3.127804,2.869749,-1.540654,-2.661491,58.2,5.95,0,2,2,2,6,318.45,2,8,0,
ZINC000888253425,DGAD,-6.725689,-7.858156,0.286717,2.899102,2.543866,-2.446472,-2.150744,54.02,5.3,0,2,2,2,6,308.17,2,6,0,
ZINC000816700571,DGAD,-6.713814,-9.373751,0.310505,3.775758,1.801875,-1.93493,-1.293271,58.2,5.75,0,2,2,2,6,306.36,2,7,0,
ZINC000888125466,DGAD,-6.689587,-10.140402,0.493055,3.495402,3.636886,-2.107817,-2.066711,80.05,5.56,0,3,2,2,6,312.37,2,8,0,
ZINC000912470990,DGAD,-6.685357,-6.792971,0.429889,2.37758,2.420339,-3.133014,-1.987181,70.56,5,0,3,2,2,6,321.46,2,10,0,
ZINC000887683635,DGAD,-6.595215,-8.309822,0.687038,3.097652,2.699502,-2.422342,-2.347243,70.23,5.66,0,2,3,3,6,313.39,2,8,0,
ZINC000816697832,DGAD,-6.461881,-7.780977,0.42568,2.682064,2.694112,-2.245811,-2.236949,70.23,5.25,0,2,3,3,6,307.35,2,8,0,
ZINC000816700619,DGAD,-6.430724,-8.277861,0.331518,3.371362,1.405079,-1.62774,-1.633082,58.2,6.22,0,2,2,2,6,324.35,2,7,0,
ZINC000887674315,DGAD,-6.360846,-8.62382,0.279213,3.42664,2.665246,-2.0341,-2.074025,61.44,5.28,0,2,2,2,6,313.39,2,7,0,
ZINC000887674314,DGAD,-6.31794,-10.398201,0.397518,3.869991,2.850064,-1.421742,-1.61557,61.44,5.28,0,2,2,2,6,313.39,2,7,0,
ZINC000887861615,DGAD,-6.272987,-7.183303,0.277415,2.656535,1.745785,-1.954131,-1.815288,80.05,5.57,0,3,2,2,6,314.31,3,7,0,
ZINC000912470989,DGAD,-6.260363,-7.988401,0.211615,3.057094,1.447593,-1.459668,-1.528596,70.56,5,0,3,2,2,6,321.46,2,10,0,
ZINC000887974741,DGAD,-6.241949,-7.962096,0.275719,2.392523,2.177312,-1.578831,-1.546575,71.84,5.94,0,3,2,2,6,311.38,2,7,0,
ZINC000887860588,DGAD,-6.140906,-7.491119,0.292559,2.8786,1.716849,-1.786777,-1.751017,80.05,5.73,0,3,2,2,6,310.35,3,7,0,
ZINC000816700194,DGAD,-6.064753,-7.692317,0.340079,2.630927,1.658254,-1.482058,-1.519637,67.43,5.65,0,2,2,2,6,322.36,2,8,0,
ZINC000887685515,DGAD,-6.01192,-8.416605,0.248147,2.393565,2.087809,-1.272202,-1.052634,59.59,5.2,0,2,2,2,6,302.37,2,8,0,
ZINC000816698954,DGAD,-5.994766,-8.642964,0.205084,3.237033,2.310717,-1.371675,-1.73296,58.2,5.9,0,2,2,2,6,320.39,2,9,0,
ZINC000887691556,DGAD,-5.932716,-7.885332,0.5823,3.515618,2.696516,-2.397766,-2.444052,70.23,5.46,0,2,3,3,6,313.39,2,8,0,
ZINC000887685754,DGAD,-5.912413,-8.051487,0.25053,2.360604,2.904854,-1.603759,-1.773154,59.59,5.01,0,2,2,2,6,302.37,2,8,0,
ZINC000887685568,DGAD,-5.849047,-8.493361,0.291693,3.053557,1.353189,-0.818312,-1.235813,59.59,5.33,0,2,2,2,6,322.79,2,8,0,
ZINC000887685569,DGAD,-5.835421,-6.935478,0.358661,1.871004,2.87097,-2.06076,-1.939818,59.59,5.33,0,2,2,2,6,322.79,2,8,0,
ZINC000816698955,DGAD,-5.82379,-8.687304,0.239294,3.908144,1.787423,-1.388436,-1.68291,58.2,5.9,0,2,2,2,6,320.39,2,9,0,
ZINC000887685755,DGAD,-5.76125,-7.656207,0.392248,2.007356,2.957449,-1.617867,-1.84423,59.59,5.01,0,2,2,2,6,302.37,2,8,0,
ZINC000162635143,DGAD,-5.630206,-7.91864,0.221094,2.054184,0.013156,0,0,56.73,5.14,0,2,2,1,6,320.84,2,3,0,
ZINC000768436734,DGAD,-5.624391,-7.410494,0.259964,2.387066,3.897617,-3.402315,-1.356228,85.41,5.13,0,3,3,2,5,308.45,2,8,0,
ZINC000768436736,DGAD,-5.523731,-7.080087,0.202219,2.331742,1.23402,-1.343833,-0.867793,85.41,5.13,0,3,3,2,5,308.45,2,8,0,
ZINC000887685516,DGAD,-5.431907,-7.442923,0.189112,2.286138,2.209442,-1.715917,-0.957759,59.59,5.2,0,2,2,2,6,302.37,2,8,0,
ZINC000915794501,DGAD,-5.379479,-8.260106,0.189333,3.213943,1.608731,-1.250173,-0.881207,74.55,5.13,0,3,2,1,5,322.47,2,8,0,
ZINC000915794500,DGAD,-5.057316,-7.378962,0.230736,2.873869,1.412301,-1.313966,-0.881294,74.55,5.13,0,3,2,1,5,322.47,2,8,0,
ZINC000730149617,DGAD,-4.824155,-8.755845,0.37982,3.738871,1.801639,-1.332883,-0.655758,74.55,5.41,0,3,2,1,5,322.47,2,8,0,
ZINC000730149623,DGAD,-4.810033,-7.175447,0.109339,2.195579,0.077775,0,-0.017279,74.55,5.41,0,3,2,1,5,322.47,2,8,0,
